gen     evals   bestfitness         
0       100     (42.83675031250703,)
1       83      (1.0000037500070313,)
2       84      (1.0000037500070313,)
3       84      (1.0000037500070313,)
4       88      (1.0000037500070313,)
5       82      (1.0000037500070313,)
6       78      (1.0000037500070313,)
7       88      (1.0000037500070313,)
8       92      (1.0000037500070313,)
9       82      (1.0000037500070313,)
10      87      (1.0000037500070313,)
11      82      (1.0000037500070313,)
12      84      (1.0000037500070313,)
13      86      (1.0000037500070313,)
14      89      (1.0000037500070313,)
15      82      (1.0000037500070313,)
16      88      (1.0000037500070313,)
17      88      (1.0000037500070313,)
18      88      (1.0000037500070313,)
19      79      (1.0000037500070313,)
20      84      (1.0000037500070313,)
21      86      (1.0000037500070313,)
22      84      (1.0000037500070313,)
23      86      (1.0000037500070313,)
24      82      (1.0000037500070313,)
25      82      (1.0000037500070313,)
26      86      (1.0000037500070313,)
27      84      (1.0000037500070313,)
28      90      (1.0000037500070313,)
29      81      (1.0000037500070313,)
30      77      (1.0000037500070313,)
31      86      (1.0000037500070313,)
32      91      (1.0000037500070313,)
33      84      (1.0000037500070313,)
34      86      (1.0000037500070313,)
35      86      (1.0000037500070313,)
36      82      (1.0000037500070313,)
37      87      (1.0000037500070313,)
38      84      (1.0000037500070313,)
39      88      (1.0000037500070313,)
40      90      (1.0000037500070313,)
41      78      (1.0000037500070313,)
42      87      (1.0000037500070313,)
43      81      (1.0000037500070313,)
44      88      (1.0000037500070313,)
45      82      (1.0000037500070313,)
46      86      (1.0000037500070313,)
47      88      (1.0000037500070313,)
48      78      (1.0000037500070313,)
49      85      (1.0000037500070313,)
50      87      (1.0000037500070313,)
Best individual :  mul(mul(sub(1, x), add(-1, sub(x, 0))), mul(mul(-1, x), x)) Fitness: 1.0000037500070313
